TF	target
AC233950.1_FG002	AC148152.3_FG008
AC233950.1_FG002	AC148167.6_FG001
AC233950.1_FG002	AC149818.2_FG001
AC233950.1_FG002	AC149829.2_FG002
AC233950.1_FG002	AC149829.2_FG003
AC233950.1_FG002	AC155610.2_FG009
AC233950.1_FG002	AC159612.1_FG007
AC233950.1_FG002	AC165178.2_FG004
AC233950.1_FG002	AC177911.4_FG005
AC233950.1_FG002	AC177946.2_FG004
AC233950.1_FG002	AC183315.4_FG006
AC233950.1_FG002	AC183319.3_FG001
AC233950.1_FG002	AC183932.3_FG007
AC233950.1_FG002	AC184764.3_FG006
AC233950.1_FG002	AC184831.3_FG003
AC233950.1_FG002	AC185108.3_FG010
AC233950.1_FG002	AC185108.3_FG011
AC233950.1_FG002	AC185460.3_FG004
AC233950.1_FG002	AC185471.3_FG005
AC233950.1_FG002	AC185501.3_FG006
AC233950.1_FG002	AC185593.3_FG003
AC233950.1_FG002	AC185611.3_FG001
AC233950.1_FG002	AC186145.3_FG002
AC233950.1_FG002	AC186322.4_FG005
AC233950.1_FG002	AC186412.4_FG011
AC233950.1_FG002	AC186611.4_FG005
AC233950.1_FG002	AC186902.4_FG006
AC233950.1_FG002	AC186904.4_FG007
AC233950.1_FG002	AC187096.5_FG001
AC233950.1_FG002	AC187157.4_FG001
AC233950.1_FG002	AC187157.4_FG002
AC233950.1_FG002	AC187209.5_FG003
AC233950.1_FG002	AC187560.5_FG003
AC233950.1_FG002	AC187887.3_FG008
AC233950.1_FG002	AC188023.3_FG011
AC233950.1_FG002	AC188831.3_FG005
AC233950.1_FG002	AC189280.3_FG001
AC233950.1_FG002	AC189750.4_FG004
AC233950.1_FG002	AC189879.3_FG003
AC233950.1_FG002	AC190496.1_FG002
AC233950.1_FG002	AC190933.3_FG004
AC233950.1_FG002	AC191113.2_FG002
AC233950.1_FG002	AC191539.4_FG001
AC233950.1_FG002	AC192244.3_FG007
AC233950.1_FG002	AC192356.3_FG003
AC233950.1_FG002	AC193499.3_FG007
AC233950.1_FG002	AC193668.3_FG009
AC233950.1_FG002	AC194158.3_FG005
AC233950.1_FG002	AC194272.3_FG003
AC233950.1_FG002	AC194357.3_FG003
